date,sales,promotion,temperature,feature4,feature5
2022-01-01,9,20,8.1,2,0
2022-01-01,7,0,12.1,2,0
2022-01-01,4,0,8.7,2,0
2022-01-01,2,10,0.0,2,0
2022-01-01,7,10,0.7,2,0
2022-01-01,7,0,0.0,2,0
2022-01-01,2,0,0.0,2,0
2022-01-01,6,0,17.6,2,0
2022-01-01,5,10,0.0,2,0
2022-01-01,5,0,18.7,2,0
2022-01-01,8,0,0.0,2,0
2022-01-01,9,0,0.0,2,0
2022-01-01,12,0,13.6,2,0
2022-01-01,2,0,0.0,2,0
2022-01-01,4,0,0.0,2,0
2022-01-01,10,0,8.0,2,0
2022-01-01,2,15,1.1,2,0
2022-01-01,7,5,0.0,2,0
2022-01-01,4,0,4.4,2,0
2022-01-01,9,0,0.0,2,0
2022-01-01,5,0,0.0,2,0
2022-01-01,5,5,16.0,2,0
2022-01-01,14,0,0.0,2,0
2022-01-01,5,0,0.0,2,0
2022-01-01,5,0,13.2,2,0
2022-01-01,7,0,0.0,2,0
2022-01-01,7,0,17.8,2,0
2022-01-01,6,10,11.3,2,0
2022-01-01,4,10,0.0,2,0
2022-01-01,5,0,6.1,2,0
2022-01-01,10,0,17.4,2,0
2022-01-01,11,0,0.0,2,0
2022-01-01,6,0,0.0,2,0
2022-01-01,10,15,0.0,2,0
2022-01-01,6,0,0.0,2,0
2022-01-01,7,0,18.7,2,0
2022-01-01,10,0,0.0,2,0
2022-01-01,3,15,15.7,2,0
2022-01-01,4,0,2.2,2,0
2022-01-01,6,10,3.2,2,0
2022-01-01,5,10,11.1,2,0
2022-01-01,8,0,11.0,2,0
2022-01-02,3,0,0.0,3,0
2022-01-02,8,0,13.9,3,0
2022-01-02,10,0,0.0,3,0
2022-01-02,10,0,3.4,3,0
2022-01-02,8,0,18.8,3,0
2022-01-02,3,0,15.1,3,0
2022-01-02,5,10,10.9,3,0
2022-01-02,7,0,12.0,3,0
2022-01-02,3,15,0.0,3,0
2022-01-02,12,0,0.0,3,0
2022-01-02,2,0,0.0,3,0
2022-01-02,5,0,16.7,3,0
2022-01-02,6,0,10.4,3,0
2022-01-02,2,0,0.0,3,0
2022-01-02,7,0,8.9,3,0
2022-01-02,4,0,2.5,3,0
2022-01-02,5,0,0.0,3,0
2022-01-02,1,15,13.4,3,0
2022-01-02,8,5,0.0,3,0
2022-01-02,7,5,6.2,3,0
2022-01-02,3,0,0.0,3,0
2022-01-02,7,0,16.1,3,0
2022-01-02,6,0,0.0,3,0
2022-01-02,4,0,11.2,3,0
2022-01-02,7,0,9.1,3,0
2022-01-02,6,0,0.0,3,0
2022-01-02,8,0,9.5,3,0
2022-01-02,8,10,5.0,3,0
2022-01-02,6,0,0.0,3,0
2022-01-02,2,0,18.4,3,0
2022-01-02,4,0,10.3,3,0
2022-01-02,17,0,0.0,3,0
2022-01-02,5,0,7.3,3,0
2022-01-02,5,0,13.9,3,0
2022-01-02,14,0,0.0,3,0
2022-01-02,2,0,19.7,3,0
2022-01-02,4,0,0.0,3,0
2022-01-02,7,0,0.0,3,0
2022-01-02,7,5,1.2,3,0
2022-01-02,11,15,4.5,3,0
2022-01-02,6,0,0.0,3,0
2022-01-02,3,15,19.3,3,0
2022-01-03,5,0,16.1,1,0
2022-01-03,4,0,0.0,1,0
2022-01-03,5,0,5.8,1,0
2022-01-03,6,0,6.2,1,0
2022-01-03,8,0,6.8,1,0
2022-01-03,5,0,0.0,1,0
2022-01-03,6,15,16.1,1,0
2022-01-03,5,10,15.8,1,0
2022-01-03,4,0,0.0,1,0
2022-01-03,1,0,2.0,1,0
2022-01-03,2,0,0.0,1,0
2022-01-03,5,0,11.8,1,0
2022-01-03,3,20,9.9,1,0
2022-01-03,4,0,0.0,1,0
2022-01-03,3,15,0.0,1,0
2022-01-03,4,5,0.0,1,0
2022-01-03,6,0,0.0,1,0
2022-01-03,10,0,0.0,1,0
2022-01-03,4,10,9.0,1,0
2022-01-03,3,15,0.0,1,0
2022-01-03,9,5,0.0,1,0
2022-01-03,8,20,0.0,1,0
2022-01-03,8,0,0.0,1,0
2022-01-03,2,0,0.0,1,0
2022-01-03,4,0,0.0,1,0
2022-01-03,7,0,14.4,1,0
2022-01-03,3,0,0.0,1,0
2022-01-03,1,0,19.3,1,0
2022-01-03,4,0,13.3,1,0
2022-01-03,4,0,0.0,1,0
2022-01-03,2,0,14.9,1,0
2022-01-03,9,15,13.8,1,0
